,Matches Completed At Time,Venue,Number Of Matches Completed At Venue,Host Club,Suburb Location Of Venue,Latitude,Longitude
33,0,Kingfisher Oval,0,Ballajura,Ballajura,-31.83724709,115.8942869
34,0,City Beach Oval,0,West Coast,City Beach,-31.93729191,115.7593959
35,0,Melville Reserve,0,Melville,Melville,-32.03535809,115.7946502
36,0,Lightning Park,0,Noranda,Noranda,-31.86847639,115.9155357
37,1,Dalkeith Oval,0,Collegians,Dalkeith,-32.00128593,115.7951273
38,1,Heathridge Oval,0,Ocean Ridge,Heathridge,-31.76805127,115.7579837
39,1,Jubilee Reserve,0,Bassendean,Eden Hill,-31.89086827,115.9413748
40,1,Inglewood Oval,0,Mount Lawley,Mount Lawley,-31.92027662,115.8743075
41,1,Pat Goodridge Reserve,0,Wembley,Jolimont,-31.94531942,115.805888
42,1,Forster Park,0,Belmont Districts,Cloverdale,-31.96841277,115.945332
43,1,South Oval,0,Curtin University Wesley,Bentley,-32.00884642,115.8900356
44,1,Beasley Park,0,Bull Creek Leeming,Leeming,-32.07164018,115.869231
45,1,John Dunn Memorial Oval,1,Kelmscott,Kelmscott,-32.12518622,116.0068897
46,1,Ray Owen Reserve,0,Kalamunda,Lesmurdie,-32.00142326,116.0441285
47,1,Wanneroo Showgrounds,0,Wanneroo,Wanneroo,-31.7567764,115.8035971
48,1,Kingsway Reserve,0,Kingsway,Madeley,-31.81807322,115.8343469
49,1,Wyong Reserve,0,Canning South Perth,Bentley,-32.01013345,115.9138305
50,1,Clifton Park Oval,0,Canning Vale,Canning Vale,-32.09450205,115.9051224
51,1,Anning Park,0,Cockburn Lakes,South Lake,-32.11774694,115.8436156
52,1,Hamer Park,0,Mount Lawley,Mount Lawley,-31.9220057,115.8723783
53,1,UWA Sports Park,0,University,Mt Claremont,-31.95191389,115.7862036
54,1,Burrendah Park,0,Willetton,Willetton,-32.05411786,115.8821643
55,1,Atwell Reserve,0,Jandakot,Atwell,-32.14134361,115.8633754
56,1,Swan Athletic Sporting Club,0,Swan Athletic,Herne Hill,-31.82496253,116.019822
57,1,Bill Grayden Reserve,0,Trinity Aquinas,Como,-31.99731409,115.875948
58,1,Carlisle Reserve,0,Carlisle,Carlisle,-31.9812595,115.928471
59,1,Thornlie Oval,0,Thornlie,Thornlie,-32.05795567,115.9547107
60,1,Ridgewood Park,0,Quinns District,Ridgewood,-31.66951794,115.724327
61,1,Kingsley Park,0,Kingsley,Kingsley,-31.80566529,115.7894548
62,1,Harmony Fields,0,Maddington,Maddington,-32.05483991,116.0116379
63,1,East Fremantle Oval,0,None (GF Venue),East Fremantle,-32.04584182,115.7685657
64,1,Gosnells Oval,0,Gosnells,Gosnells,-32.07163251,115.9963124
65,1,Cross Park,0,Roleystone,Roleystone,-32.11140919,116.0689755
66,1,Warnbro Sporting Complex,0,Warnbro,Warnbro,-32.3296163,115.7519065
67,1,Macdonald Reserve,0,Whitford,Padbury,-31.80364653,115.7583683
68,1,Gil Fraser Oval,0,North Fremantle,North Fremantle,-32.03507899,115.7587643
69,1,Morris Buzzacott Reserve,0,CBC Fremantle,Kardinya,-32.06242979,115.8257632
70,1,Kingfisher Oval,0,Ballajura,Ballajura,-31.83724709,115.8942869
71,1,City Beach Oval,0,West Coast,City Beach,-31.93729191,115.7593959
72,1,Melville Reserve,0,Melville,Melville,-32.03535809,115.7946502
73,1,Lightning Park,0,Noranda,Noranda,-31.86847639,115.9155357
74,2,Dalkeith Oval,0,Collegians,Dalkeith,-32.00128593,115.7951273
75,2,Heathridge Oval,0,Ocean Ridge,Heathridge,-31.76805127,115.7579837
76,2,Jubilee Reserve,0,Bassendean,Eden Hill,-31.89086827,115.9413748
77,2,Inglewood Oval,0,Mount Lawley,Mount Lawley,-31.92027662,115.8743075
78,2,Pat Goodridge Reserve,0,Wembley,Jolimont,-31.94531942,115.805888
79,2,Forster Park,0,Belmont Districts,Cloverdale,-31.96841277,115.945332
80,2,South Oval,0,Curtin University Wesley,Bentley,-32.00884642,115.8900356
81,2,Beasley Park,0,Bull Creek Leeming,Leeming,-32.07164018,115.869231
82,2,John Dunn Memorial Oval,1,Kelmscott,Kelmscott,-32.12518622,116.0068897
83,2,Ray Owen Reserve,0,Kalamunda,Lesmurdie,-32.00142326,116.0441285
84,2,Wanneroo Showgrounds,0,Wanneroo,Wanneroo,-31.7567764,115.8035971
85,2,Kingsway Reserve,0,Kingsway,Madeley,-31.81807322,115.8343469
86,2,Wyong Reserve,0,Canning South Perth,Bentley,-32.01013345,115.9138305
87,2,Clifton Park Oval,0,Canning Vale,Canning Vale,-32.09450205,115.9051224
88,2,Anning Park,0,Cockburn Lakes,South Lake,-32.11774694,115.8436156
89,2,Hamer Park,0,Mount Lawley,Mount Lawley,-31.9220057,115.8723783
90,2,UWA Sports Park,0,University,Mt Claremont,-31.95191389,115.7862036
91,2,Burrendah Park,0,Willetton,Willetton,-32.05411786,115.8821643
92,2,Atwell Reserve,0,Jandakot,Atwell,-32.14134361,115.8633754
93,2,Swan Athletic Sporting Club,0,Swan Athletic,Herne Hill,-31.82496253,116.019822
94,2,Bill Grayden Reserve,0,Trinity Aquinas,Como,-31.99731409,115.875948
95,2,Carlisle Reserve,0,Carlisle,Carlisle,-31.9812595,115.928471
96,2,Thornlie Oval,0,Thornlie,Thornlie,-32.05795567,115.9547107
97,2,Ridgewood Park,0,Quinns District,Ridgewood,-31.66951794,115.724327
98,2,Kingsley Park,0,Kingsley,Kingsley,-31.80566529,115.7894548
99,2,Harmony Fields,0,Maddington,Maddington,-32.05483991,116.0116379
100,2,East Fremantle Oval,0,None (GF Venue),East Fremantle,-32.04584182,115.7685657
101,2,Gosnells Oval,0,Gosnells,Gosnells,-32.07163251,115.9963124
102,2,Cross Park,0,Roleystone,Roleystone,-32.11140919,116.0689755
103,2,Warnbro Sporting Complex,0,Warnbro,Warnbro,-32.3296163,115.7519065
104,2,Macdonald Reserve,0,Whitford,Padbury,-31.80364653,115.7583683
105,2,Gil Fraser Oval,0,North Fremantle,North Fremantle,-32.03507899,115.7587643
106,2,Morris Buzzacott Reserve,0,CBC Fremantle,Kardinya,-32.06242979,115.8257632
107,2,Kingfisher Oval,0,Ballajura,Ballajura,-31.83724709,115.8942869
108,2,City Beach Oval,0,West Coast,City Beach,-31.93729191,115.7593959
109,2,Melville Reserve,1,Melville,Melville,-32.03535809,115.7946502
110,2,Lightning Park,0,Noranda,Noranda,-31.86847639,115.9155357
111,3,Dalkeith Oval,0,Collegians,Dalkeith,-32.00128593,115.7951273
112,3,Heathridge Oval,0,Ocean Ridge,Heathridge,-31.76805127,115.7579837
113,3,Jubilee Reserve,0,Bassendean,Eden Hill,-31.89086827,115.9413748
114,3,Inglewood Oval,0,Mount Lawley,Mount Lawley,-31.92027662,115.8743075
115,3,Pat Goodridge Reserve,0,Wembley,Jolimont,-31.94531942,115.805888
116,3,Forster Park,0,Belmont Districts,Cloverdale,-31.96841277,115.945332
117,3,South Oval,0,Curtin University Wesley,Bentley,-32.00884642,115.8900356
118,3,Beasley Park,0,Bull Creek Leeming,Leeming,-32.07164018,115.869231
119,3,John Dunn Memorial Oval,1,Kelmscott,Kelmscott,-32.12518622,116.0068897
120,3,Ray Owen Reserve,0,Kalamunda,Lesmurdie,-32.00142326,116.0441285
121,3,Wanneroo Showgrounds,0,Wanneroo,Wanneroo,-31.7567764,115.8035971
122,3,Kingsway Reserve,0,Kingsway,Madeley,-31.81807322,115.8343469
123,3,Wyong Reserve,0,Canning South Perth,Bentley,-32.01013345,115.9138305
124,3,Clifton Park Oval,0,Canning Vale,Canning Vale,-32.09450205,115.9051224
125,3,Anning Park,0,Cockburn Lakes,South Lake,-32.11774694,115.8436156
126,3,Hamer Park,0,Mount Lawley,Mount Lawley,-31.9220057,115.8723783
127,3,UWA Sports Park,0,University,Mt Claremont,-31.95191389,115.7862036
128,3,Burrendah Park,0,Willetton,Willetton,-32.05411786,115.8821643
129,3,Atwell Reserve,0,Jandakot,Atwell,-32.14134361,115.8633754
130,3,Swan Athletic Sporting Club,0,Swan Athletic,Herne Hill,-31.82496253,116.019822
131,3,Bill Grayden Reserve,0,Trinity Aquinas,Como,-31.99731409,115.875948
132,3,Carlisle Reserve,0,Carlisle,Carlisle,-31.9812595,115.928471
133,3,Thornlie Oval,0,Thornlie,Thornlie,-32.05795567,115.9547107
134,3,Ridgewood Park,0,Quinns District,Ridgewood,-31.66951794,115.724327
135,3,Kingsley Park,0,Kingsley,Kingsley,-31.80566529,115.7894548
136,3,Harmony Fields,0,Maddington,Maddington,-32.05483991,116.0116379
137,3,East Fremantle Oval,0,None (GF Venue),East Fremantle,-32.04584182,115.7685657
138,3,Gosnells Oval,0,Gosnells,Gosnells,-32.07163251,115.9963124
139,3,Cross Park,0,Roleystone,Roleystone,-32.11140919,116.0689755
140,3,Warnbro Sporting Complex,0,Warnbro,Warnbro,-32.3296163,115.7519065
141,3,Macdonald Reserve,0,Whitford,Padbury,-31.80364653,115.7583683
142,3,Gil Fraser Oval,0,North Fremantle,North Fremantle,-32.03507899,115.7587643
143,3,Morris Buzzacott Reserve,0,CBC Fremantle,Kardinya,-32.06242979,115.8257632
144,3,Kingfisher Oval,0,Ballajura,Ballajura,-31.83724709,115.8942869
145,3,City Beach Oval,0,West Coast,City Beach,-31.93729191,115.7593959
146,3,Melville Reserve,2,Melville,Melville,-32.03535809,115.7946502
147,3,Lightning Park,0,Noranda,Noranda,-31.86847639,115.9155357
148,4,Dalkeith Oval,0,Collegians,Dalkeith,-32.00128593,115.7951273
149,4,Heathridge Oval,0,Ocean Ridge,Heathridge,-31.76805127,115.7579837
150,4,Jubilee Reserve,0,Bassendean,Eden Hill,-31.89086827,115.9413748
151,4,Inglewood Oval,0,Mount Lawley,Mount Lawley,-31.92027662,115.8743075
152,4,Pat Goodridge Reserve,0,Wembley,Jolimont,-31.94531942,115.805888
153,4,Forster Park,0,Belmont Districts,Cloverdale,-31.96841277,115.945332
154,4,South Oval,0,Curtin University Wesley,Bentley,-32.00884642,115.8900356
155,4,Beasley Park,0,Bull Creek Leeming,Leeming,-32.07164018,115.869231
156,4,John Dunn Memorial Oval,1,Kelmscott,Kelmscott,-32.12518622,116.0068897
157,4,Ray Owen Reserve,0,Kalamunda,Lesmurdie,-32.00142326,116.0441285
158,4,Wanneroo Showgrounds,0,Wanneroo,Wanneroo,-31.7567764,115.8035971
159,4,Kingsway Reserve,0,Kingsway,Madeley,-31.81807322,115.8343469
160,4,Wyong Reserve,0,Canning South Perth,Bentley,-32.01013345,115.9138305
161,4,Clifton Park Oval,0,Canning Vale,Canning Vale,-32.09450205,115.9051224
162,4,Anning Park,0,Cockburn Lakes,South Lake,-32.11774694,115.8436156
163,4,Hamer Park,0,Mount Lawley,Mount Lawley,-31.9220057,115.8723783
164,4,UWA Sports Park,0,University,Mt Claremont,-31.95191389,115.7862036
165,4,Burrendah Park,0,Willetton,Willetton,-32.05411786,115.8821643
166,4,Atwell Reserve,0,Jandakot,Atwell,-32.14134361,115.8633754
167,4,Swan Athletic Sporting Club,0,Swan Athletic,Herne Hill,-31.82496253,116.019822
168,4,Bill Grayden Reserve,0,Trinity Aquinas,Como,-31.99731409,115.875948
169,4,Carlisle Reserve,0,Carlisle,Carlisle,-31.9812595,115.928471
170,4,Thornlie Oval,1,Thornlie,Thornlie,-32.05795567,115.9547107
171,4,Ridgewood Park,0,Quinns District,Ridgewood,-31.66951794,115.724327
172,4,Kingsley Park,0,Kingsley,Kingsley,-31.80566529,115.7894548
173,4,Harmony Fields,0,Maddington,Maddington,-32.05483991,116.0116379
174,4,East Fremantle Oval,0,None (GF Venue),East Fremantle,-32.04584182,115.7685657
175,4,Gosnells Oval,0,Gosnells,Gosnells,-32.07163251,115.9963124
176,4,Cross Park,0,Roleystone,Roleystone,-32.11140919,116.0689755
177,4,Warnbro Sporting Complex,0,Warnbro,Warnbro,-32.3296163,115.7519065
178,4,Macdonald Reserve,0,Whitford,Padbury,-31.80364653,115.7583683
179,4,Gil Fraser Oval,0,North Fremantle,North Fremantle,-32.03507899,115.7587643
180,4,Morris Buzzacott Reserve,0,CBC Fremantle,Kardinya,-32.06242979,115.8257632
181,4,Kingfisher Oval,0,Ballajura,Ballajura,-31.83724709,115.8942869
182,4,City Beach Oval,0,West Coast,City Beach,-31.93729191,115.7593959
183,4,Melville Reserve,2,Melville,Melville,-32.03535809,115.7946502
184,4,Lightning Park,0,Noranda,Noranda,-31.86847639,115.9155357
185,5,Dalkeith Oval,0,Collegians,Dalkeith,-32.00128593,115.7951273
186,5,Heathridge Oval,0,Ocean Ridge,Heathridge,-31.76805127,115.7579837
187,5,Jubilee Reserve,0,Bassendean,Eden Hill,-31.89086827,115.9413748
188,5,Inglewood Oval,0,Mount Lawley,Mount Lawley,-31.92027662,115.8743075
189,5,Pat Goodridge Reserve,0,Wembley,Jolimont,-31.94531942,115.805888
190,5,Forster Park,0,Belmont Districts,Cloverdale,-31.96841277,115.945332
191,5,South Oval,0,Curtin University Wesley,Bentley,-32.00884642,115.8900356
192,5,Beasley Park,0,Bull Creek Leeming,Leeming,-32.07164018,115.869231
193,5,John Dunn Memorial Oval,1,Kelmscott,Kelmscott,-32.12518622,116.0068897
194,5,Ray Owen Reserve,0,Kalamunda,Lesmurdie,-32.00142326,116.0441285
195,5,Wanneroo Showgrounds,0,Wanneroo,Wanneroo,-31.7567764,115.8035971
196,5,Kingsway Reserve,0,Kingsway,Madeley,-31.81807322,115.8343469
197,5,Wyong Reserve,0,Canning South Perth,Bentley,-32.01013345,115.9138305
198,5,Clifton Park Oval,0,Canning Vale,Canning Vale,-32.09450205,115.9051224
199,5,Anning Park,0,Cockburn Lakes,South Lake,-32.11774694,115.8436156
200,5,Hamer Park,0,Mount Lawley,Mount Lawley,-31.9220057,115.8723783
201,5,UWA Sports Park,0,University,Mt Claremont,-31.95191389,115.7862036
202,5,Burrendah Park,0,Willetton,Willetton,-32.05411786,115.8821643
203,5,Atwell Reserve,0,Jandakot,Atwell,-32.14134361,115.8633754
204,5,Swan Athletic Sporting Club,0,Swan Athletic,Herne Hill,-31.82496253,116.019822
205,5,Bill Grayden Reserve,0,Trinity Aquinas,Como,-31.99731409,115.875948
206,5,Carlisle Reserve,0,Carlisle,Carlisle,-31.9812595,115.928471
207,5,Thornlie Oval,2,Thornlie,Thornlie,-32.05795567,115.9547107
208,5,Ridgewood Park,0,Quinns District,Ridgewood,-31.66951794,115.724327
209,5,Kingsley Park,0,Kingsley,Kingsley,-31.80566529,115.7894548
210,5,Harmony Fields,0,Maddington,Maddington,-32.05483991,116.0116379
211,5,East Fremantle Oval,0,None (GF Venue),East Fremantle,-32.04584182,115.7685657
212,5,Gosnells Oval,0,Gosnells,Gosnells,-32.07163251,115.9963124
213,5,Cross Park,0,Roleystone,Roleystone,-32.11140919,116.0689755
214,5,Warnbro Sporting Complex,0,Warnbro,Warnbro,-32.3296163,115.7519065
215,5,Macdonald Reserve,0,Whitford,Padbury,-31.80364653,115.7583683
216,5,Gil Fraser Oval,0,North Fremantle,North Fremantle,-32.03507899,115.7587643
217,5,Morris Buzzacott Reserve,0,CBC Fremantle,Kardinya,-32.06242979,115.8257632
218,5,Kingfisher Oval,0,Ballajura,Ballajura,-31.83724709,115.8942869
219,5,City Beach Oval,0,West Coast,City Beach,-31.93729191,115.7593959
220,5,Melville Reserve,2,Melville,Melville,-32.03535809,115.7946502
221,5,Lightning Park,0,Noranda,Noranda,-31.86847639,115.9155357
222,6,Dalkeith Oval,0,Collegians,Dalkeith,-32.00128593,115.7951273
223,6,Heathridge Oval,0,Ocean Ridge,Heathridge,-31.76805127,115.7579837
224,6,Jubilee Reserve,0,Bassendean,Eden Hill,-31.89086827,115.9413748
225,6,Inglewood Oval,0,Mount Lawley,Mount Lawley,-31.92027662,115.8743075
226,6,Pat Goodridge Reserve,0,Wembley,Jolimont,-31.94531942,115.805888
227,6,Forster Park,0,Belmont Districts,Cloverdale,-31.96841277,115.945332
228,6,South Oval,0,Curtin University Wesley,Bentley,-32.00884642,115.8900356
229,6,Beasley Park,0,Bull Creek Leeming,Leeming,-32.07164018,115.869231
230,6,John Dunn Memorial Oval,2,Kelmscott,Kelmscott,-32.12518622,116.0068897
231,6,Ray Owen Reserve,0,Kalamunda,Lesmurdie,-32.00142326,116.0441285
232,6,Wanneroo Showgrounds,0,Wanneroo,Wanneroo,-31.7567764,115.8035971
233,6,Kingsway Reserve,0,Kingsway,Madeley,-31.81807322,115.8343469
234,6,Wyong Reserve,0,Canning South Perth,Bentley,-32.01013345,115.9138305
235,6,Clifton Park Oval,0,Canning Vale,Canning Vale,-32.09450205,115.9051224
236,6,Anning Park,0,Cockburn Lakes,South Lake,-32.11774694,115.8436156
237,6,Hamer Park,0,Mount Lawley,Mount Lawley,-31.9220057,115.8723783
238,6,UWA Sports Park,0,University,Mt Claremont,-31.95191389,115.7862036
239,6,Burrendah Park,0,Willetton,Willetton,-32.05411786,115.8821643
240,6,Atwell Reserve,0,Jandakot,Atwell,-32.14134361,115.8633754
241,6,Swan Athletic Sporting Club,0,Swan Athletic,Herne Hill,-31.82496253,116.019822
242,6,Bill Grayden Reserve,0,Trinity Aquinas,Como,-31.99731409,115.875948
243,6,Carlisle Reserve,0,Carlisle,Carlisle,-31.9812595,115.928471
244,6,Thornlie Oval,2,Thornlie,Thornlie,-32.05795567,115.9547107
245,6,Ridgewood Park,0,Quinns District,Ridgewood,-31.66951794,115.724327
246,6,Kingsley Park,0,Kingsley,Kingsley,-31.80566529,115.7894548
247,6,Harmony Fields,0,Maddington,Maddington,-32.05483991,116.0116379
248,6,East Fremantle Oval,0,None (GF Venue),East Fremantle,-32.04584182,115.7685657
249,6,Gosnells Oval,0,Gosnells,Gosnells,-32.07163251,115.9963124
250,6,Cross Park,0,Roleystone,Roleystone,-32.11140919,116.0689755
251,6,Warnbro Sporting Complex,0,Warnbro,Warnbro,-32.3296163,115.7519065
252,6,Macdonald Reserve,0,Whitford,Padbury,-31.80364653,115.7583683
253,6,Gil Fraser Oval,0,North Fremantle,North Fremantle,-32.03507899,115.7587643
254,6,Morris Buzzacott Reserve,0,CBC Fremantle,Kardinya,-32.06242979,115.8257632
255,6,Kingfisher Oval,0,Ballajura,Ballajura,-31.83724709,115.8942869
256,6,City Beach Oval,0,West Coast,City Beach,-31.93729191,115.7593959
257,6,Melville Reserve,2,Melville,Melville,-32.03535809,115.7946502
258,6,Lightning Park,0,Noranda,Noranda,-31.86847639,115.9155357
259,7,Dalkeith Oval,0,Collegians,Dalkeith,-32.00128593,115.7951273
260,7,Heathridge Oval,0,Ocean Ridge,Heathridge,-31.76805127,115.7579837
261,7,Jubilee Reserve,0,Bassendean,Eden Hill,-31.89086827,115.9413748
262,7,Inglewood Oval,0,Mount Lawley,Mount Lawley,-31.92027662,115.8743075
263,7,Pat Goodridge Reserve,0,Wembley,Jolimont,-31.94531942,115.805888
264,7,Forster Park,0,Belmont Districts,Cloverdale,-31.96841277,115.945332
265,7,South Oval,0,Curtin University Wesley,Bentley,-32.00884642,115.8900356
266,7,Beasley Park,0,Bull Creek Leeming,Leeming,-32.07164018,115.869231
267,7,John Dunn Memorial Oval,3,Kelmscott,Kelmscott,-32.12518622,116.0068897
268,7,Ray Owen Reserve,0,Kalamunda,Lesmurdie,-32.00142326,116.0441285
269,7,Wanneroo Showgrounds,0,Wanneroo,Wanneroo,-31.7567764,115.8035971
270,7,Kingsway Reserve,0,Kingsway,Madeley,-31.81807322,115.8343469
271,7,Wyong Reserve,0,Canning South Perth,Bentley,-32.01013345,115.9138305
272,7,Clifton Park Oval,0,Canning Vale,Canning Vale,-32.09450205,115.9051224
273,7,Anning Park,0,Cockburn Lakes,South Lake,-32.11774694,115.8436156
274,7,Hamer Park,0,Mount Lawley,Mount Lawley,-31.9220057,115.8723783
275,7,UWA Sports Park,0,University,Mt Claremont,-31.95191389,115.7862036
276,7,Burrendah Park,0,Willetton,Willetton,-32.05411786,115.8821643
277,7,Atwell Reserve,0,Jandakot,Atwell,-32.14134361,115.8633754
278,7,Swan Athletic Sporting Club,0,Swan Athletic,Herne Hill,-31.82496253,116.019822
279,7,Bill Grayden Reserve,0,Trinity Aquinas,Como,-31.99731409,115.875948
280,7,Carlisle Reserve,0,Carlisle,Carlisle,-31.9812595,115.928471
281,7,Thornlie Oval,2,Thornlie,Thornlie,-32.05795567,115.9547107
282,7,Ridgewood Park,0,Quinns District,Ridgewood,-31.66951794,115.724327
283,7,Kingsley Park,0,Kingsley,Kingsley,-31.80566529,115.7894548
284,7,Harmony Fields,0,Maddington,Maddington,-32.05483991,116.0116379
285,7,East Fremantle Oval,0,None (GF Venue),East Fremantle,-32.04584182,115.7685657
286,7,Gosnells Oval,0,Gosnells,Gosnells,-32.07163251,115.9963124
287,7,Cross Park,0,Roleystone,Roleystone,-32.11140919,116.0689755
288,7,Warnbro Sporting Complex,0,Warnbro,Warnbro,-32.3296163,115.7519065
289,7,Macdonald Reserve,0,Whitford,Padbury,-31.80364653,115.7583683
290,7,Gil Fraser Oval,0,North Fremantle,North Fremantle,-32.03507899,115.7587643
291,7,Morris Buzzacott Reserve,0,CBC Fremantle,Kardinya,-32.06242979,115.8257632
292,7,Kingfisher Oval,0,Ballajura,Ballajura,-31.83724709,115.8942869
293,7,City Beach Oval,0,West Coast,City Beach,-31.93729191,115.7593959
294,7,Melville Reserve,2,Melville,Melville,-32.03535809,115.7946502
295,7,Lightning Park,0,Noranda,Noranda,-31.86847639,115.9155357
296,8,Dalkeith Oval,0,Collegians,Dalkeith,-32.00128593,115.7951273
297,8,Heathridge Oval,0,Ocean Ridge,Heathridge,-31.76805127,115.7579837
298,8,Jubilee Reserve,0,Bassendean,Eden Hill,-31.89086827,115.9413748
299,8,Inglewood Oval,0,Mount Lawley,Mount Lawley,-31.92027662,115.8743075
300,8,Pat Goodridge Reserve,0,Wembley,Jolimont,-31.94531942,115.805888
301,8,Forster Park,0,Belmont Districts,Cloverdale,-31.96841277,115.945332
302,8,South Oval,0,Curtin University Wesley,Bentley,-32.00884642,115.8900356
303,8,Beasley Park,0,Bull Creek Leeming,Leeming,-32.07164018,115.869231
304,8,John Dunn Memorial Oval,3,Kelmscott,Kelmscott,-32.12518622,116.0068897
305,8,Ray Owen Reserve,0,Kalamunda,Lesmurdie,-32.00142326,116.0441285
306,8,Wanneroo Showgrounds,0,Wanneroo,Wanneroo,-31.7567764,115.8035971
307,8,Kingsway Reserve,0,Kingsway,Madeley,-31.81807322,115.8343469
308,8,Wyong Reserve,0,Canning South Perth,Bentley,-32.01013345,115.9138305
309,8,Clifton Park Oval,0,Canning Vale,Canning Vale,-32.09450205,115.9051224
310,8,Anning Park,0,Cockburn Lakes,South Lake,-32.11774694,115.8436156
311,8,Hamer Park,1,Mount Lawley,Mount Lawley,-31.9220057,115.8723783
312,8,UWA Sports Park,0,University,Mt Claremont,-31.95191389,115.7862036
313,8,Burrendah Park,0,Willetton,Willetton,-32.05411786,115.8821643
314,8,Atwell Reserve,0,Jandakot,Atwell,-32.14134361,115.8633754
315,8,Swan Athletic Sporting Club,0,Swan Athletic,Herne Hill,-31.82496253,116.019822
316,8,Bill Grayden Reserve,0,Trinity Aquinas,Como,-31.99731409,115.875948
317,8,Carlisle Reserve,0,Carlisle,Carlisle,-31.9812595,115.928471
318,8,Thornlie Oval,2,Thornlie,Thornlie,-32.05795567,115.9547107
319,8,Ridgewood Park,0,Quinns District,Ridgewood,-31.66951794,115.724327
320,8,Kingsley Park,0,Kingsley,Kingsley,-31.80566529,115.7894548
321,8,Harmony Fields,0,Maddington,Maddington,-32.05483991,116.0116379
322,8,East Fremantle Oval,0,None (GF Venue),East Fremantle,-32.04584182,115.7685657
323,8,Gosnells Oval,0,Gosnells,Gosnells,-32.07163251,115.9963124
324,8,Cross Park,0,Roleystone,Roleystone,-32.11140919,116.0689755
325,8,Warnbro Sporting Complex,0,Warnbro,Warnbro,-32.3296163,115.7519065
326,8,Macdonald Reserve,0,Whitford,Padbury,-31.80364653,115.7583683
327,8,Gil Fraser Oval,0,North Fremantle,North Fremantle,-32.03507899,115.7587643
328,8,Morris Buzzacott Reserve,0,CBC Fremantle,Kardinya,-32.06242979,115.8257632
329,8,Kingfisher Oval,0,Ballajura,Ballajura,-31.83724709,115.8942869
330,8,City Beach Oval,0,West Coast,City Beach,-31.93729191,115.7593959
331,8,Melville Reserve,2,Melville,Melville,-32.03535809,115.7946502
332,8,Lightning Park,0,Noranda,Noranda,-31.86847639,115.9155357
333,9,Dalkeith Oval,0,Collegians,Dalkeith,-32.00128593,115.7951273
334,9,Heathridge Oval,0,Ocean Ridge,Heathridge,-31.76805127,115.7579837
335,9,Jubilee Reserve,0,Bassendean,Eden Hill,-31.89086827,115.9413748
336,9,Inglewood Oval,0,Mount Lawley,Mount Lawley,-31.92027662,115.8743075
337,9,Pat Goodridge Reserve,0,Wembley,Jolimont,-31.94531942,115.805888
